selenographic crater coordinates: ID, X, Y, Z, a_dia_metres, b_dia_metres, angle(degree)
04-1-088024, 1119143.80398739, -568658.50412732, 1201125.89335186, 8.36, 8.00, 0.71
04-1-088096, 1236721.39493906, -247256.00302109, 1194965.86573425, 6.37, 6.07, 1.54
04-1-088463, 1040301.72584753, -652959.62601687, 1228810.32140463, 4.38, 4.31, 0.81
04-1-088556, 950742.34310291, -783146.42566549, 1225287.48993800, 9.89, 7.03, 1.38
04-1-088612, 913333.10166351, -827492.05025154, 1224597.20405373, 7.33, 6.95, 1.07
04-1-088671, 880219.36600837, -868135.41283147, 1220702.06549008, 5.78, 5.51, 1.58
04-1-088680, 874807.04348832, -868902.92577385, 1224042.11620551, 4.97, 4.57, 1.83
04-1-089009, 540077.79273328, -1123503.19131465, 1210212.92213484, 5.58, 5.47, 0.44
04-1-089074, 302744.45579272, -1192146.35726514, 1227066.26444794, 4.89, 4.17, 0.58
04-1-089343, 56646.03445064, -1222026.03181072, 1233694.59930647, 5.79, 4.74, 1.37
04-1-089381, 8804.15232053, -1227328.75404321, 1229693.20417763, 5.20, 4.89, 3.04
04-1-089388, 2332.87499803, -1215124.79360014, 1241783.01392492, 6.77, 5.79, 1.21
04-1-089664, 209816.29199258, -1186415.52610364, 1251780.36533360, 5.63, 4.91, 0.45
04-1-089790, 415374.91692816, -1134758.45708286, 1248337.16698088, 5.29, 5.18, 1.13
04-1-089825, 495572.70855385, -1101362.33535909, 1248986.57190098, 4.74, 4.51, 1.83
04-1-089872, 592850.83122882, -1048031.00663346, 1252484.59513327, 4.80, 4.69, 2.03
04-1-089994, 732109.10342141, -945838.89216030, 1260144.36108109, 6.25, 5.84, 2.88
04-1-090010, 751027.18707815, -948308.27059346, 1247087.94725694, 4.45, 4.05, 1.64
04-1-090079, 796087.50788767, -893477.63456428, 1259563.87544206, 5.82, 5.34, 1.62
04-1-090095, 801807.16846538, -900751.25493233, 1250724.27070692, 6.54, 5.07, 1.83
04-1-090104, 804100.22999034, -887670.36869286, 1258579.71407224, 4.27, 4.05, 0.94
04-1-090234, 875947.40145805, -812557.22060911, 1261358.66156890, 4.39, 3.98, 2.21
04-1-090360, 951920.39489049, -749948.74078758, 1244983.21594415, 5.40, 5.11, 2.30
04-1-090541, 1144441.35746397, -413491.45298564, 1240095.78566893, 6.06, 5.82, 0.55
04-1-090684, 1210895.20234665, -19106.81929141, 1245763.41991184, 5.06, 4.59, 0.96
04-1-090874, 1171504.71034444, -136563.11716156, 1275729.59073305, 4.92, 4.63, 1.97
04-1-090967, 1173454.46701816, -215877.32836017, 1262917.39751070, 4.33, 3.98, 1.53
04-1-091256, 933579.41294473, -731046.72052914, 1269865.71421129, 6.22, 5.77, 1.08
04-1-091430, 678674.21831718, -977139.12242080, 1266159.23201873, 5.27, 4.92, 1.21
04-1-091748, 295110.77682541, -1144899.85894274, 1273056.44116606, 6.22, 6.04, 1.18
04-1-091909, 9766.65788083, -1183035.01935476, 1272356.67773393, 5.20, 5.12, 1.23
04-1-091921, 25442.69313396, -1194703.78443218, 1261187.65329728, 6.77, 5.79, 0.38
04-1-091922, 24250.22656942, -1198659.28955185, 1257452.42219433, 5.79, 4.75, 1.58
04-1-091956, 17735.79549722, -1153355.43776015, 1299236.48184123, 5.21, 4.40, 1.63
